Wed Mar 12 13:46:48 2025    cnv_purple_profile

         506475981 function calls (494362664 primitive calls) in 691.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   361802    1.294    0.000   62.210    0.000 /u/ibancarz/git/djerba/src/lib/djerba/plugins/wgts/cnv_purple/purple_tools.py:403(major_allele_deviation)
   361802    0.893    0.000   61.263    0.000 /u/ibancarz/git/djerba/src/lib/djerba/plugins/wgts/cnv_purple/purple_tools.py:411(minor_allele_deviation)
   246050    1.505    0.000   54.356    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/internals/managers.py:869(take)
   242672    0.409    0.000   53.336    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/arraylike.py:38(__eq__)
       14    0.000    0.000   49.747    3.553 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/artist.py:92(draw_wrapper)
117784/14    1.088    0.000   49.747    3.553 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/artist.py:53(draw_wrapper)
       14    0.001    0.000   49.747    3.553 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/figure.py:3237(draw)
   210/14    0.157    0.001   49.363    3.526 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/image.py:116(_draw_list_compositing_images)
      196    0.007    0.000   48.977    0.250 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/axes/_base.py:3116(draw)
        2    0.000    0.000   48.244   24.122 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/pyplot.py:1238(savefig)
    96798    0.601    0.000   44.650    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/patches.py:633(draw)
   723604    7.754    0.000   44.034    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/djerba-1.8.1/lib/python3.10/site-packages/scipy/stats/_distn_infrastructure.py:600(argsreduce)
   242656    0.354    0.000   42.251    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/arraylike.py:50(__le__)
90922463/89939323   26.200    0.000   41.241    0.000 {built-in method builtins.isinstance}
   242654    0.364    0.000   40.836    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/arraylike.py:58(__ge__)
    31806    0.434    0.000   39.507    0.001 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/axes/_base.py:2438(add_patch)
   246080    2.117    0.000   36.319    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/internals/managers.py:623(reindex_indexer)
        6    0.000    0.000   36.191    6.032 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/figure.py:3334(savefig)
        6    0.001    0.000   36.190    6.032 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/backend_bases.py:2049(print_figure)
   729700    4.850    0.000   33.783    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/ops/array_ops.py:288(comparison_op)
