sample	cell_type	score	ptile
EVRS_0009_nn_n_PE_349_WT	T cell CD8+	0	0
EVRS_0009_nn_n_PE_357_WT	T cell CD8+	0	0
EVRS_0009_nn_n_PE_362_WT	T cell CD8+	0	0
EVRS_0009_nn_n_PE_367_WT	T cell CD8+	0	0
EVRS_0009_nn_n_PE_391_WT	T cell CD8+	0	0
EVRS_0010_nn_n_PE_323_WT	T cell CD8+	0	0
EVRS_0010_nn_n_PE_330_WT	T cell CD8+	0	0
EVRS_0010_nn_n_PE_340_WT	T cell CD8+	0	0
EVRS_0010_nn_n_PE_346_WT	T cell CD8+	0	0
EVRS_0010_nn_n_PE_471_WT	T cell CD8+	0	0
EVRS_0011_Ly_R_PE_359_WT	T cell CD8+	0.105434189	94.11764706
EVRS_0012_Ly_R_PE_335_WT	T cell CD8+	0.11555673	94.95798319
EVRS_0013_Ly_R_PE_342_WT	T cell CD8+	0.186090403	99.15966387
EVRS_0014_Ly_R_PE_314_WT	T cell CD8+	0.114043825	94.95798319
EVRS_0015_Ly_R_PE_338_WT	T cell CD8+	0.106953659	94.11764706
EVRS_0016_Ly_R_PE_325_WT	T cell CD8+	0.100783771	93.27731092
EVRS_0017_Ly_R_PE_320_WT	T cell CD8+	0.223526213	100
EVRS_0018_Ly_R_PE_349_WT	T cell CD8+	0.183654524	99.15966387
EVRS_0018_Pl_T_PE_373_WT	T cell CD8+	0	0
EVRS_0019_Ly_R_PE_315_WT	T cell CD8+	0.148896086	97.4789916
EVRS_0019_Pl_T_PE_383_WT	T cell CD8+	0	0
EVRS_0020_Ly_R_PE_319_WT	T cell CD8+	0.173848181	99.15966387
EVRS_0021_Ly_R_PE_310_WT	T cell CD8+	0.170138862	99.15966387
EVRS_0022_Pl_T_PE_431_WT	T cell CD8+	0.188684278	99.15966387
EVRS_0023_Pl_T_PE_393_WT	T cell CD8+	0.081964779	90.75630252
EVRS_0024_Pl_T_PE_373_WT	T cell CD8+	0	0
EVRS_0025_Pl_T_PE_436_WT	T cell CD8+	0.0531789	89.07563025
EVRS_0026_Pl_T_PE_364_WT	T cell CD8+	0.090068347	91.59663866
EVRS_0028_nn_C_PE_344_WT	T cell CD8+	0	0
EVRS_0028_nn_C_PE_383_WT	T cell CD8+	0	0
EVRS_0029_nn_n_PE_389_WT	T cell CD8+	0	0
EVRS_0030_nn_n_PE_370_WT	T cell CD8+	0	0
GSICAPBENCH_1219_Lv_M_PE_348_WT	T cell CD8+	0	0
GSICAPBENCH_1219_Lv_M_PE_348_WT	T cell CD8+	0	0
GSICAPBENCH_1219_Lv_M_PE_348_WT	T cell CD8+	0	0
GSICAPBENCH_1219_Lv_M_PE_348_WT	T cell CD8+	0	0
GSICAPBENCH_1232_Lv_M_PE_357_WT	T cell CD8+	0.037165572	47.89915966
GSICAPBENCH_1232_Lv_M_PE_357_WT	T cell CD8+	0.007608884	21.8487395
GSICAPBENCH_1232_Lv_M_PE_357_WT	T cell CD8+	0.007608884	21.8487395
GSICAPBENCH_1233_Lv_M_PE_365_WT	T cell CD8+	0	0
GSICAPBENCH_1233_Lv_M_PE_365_WT	T cell CD8+	0	0
GSICAPBENCH_1233_Lv_M_PE_365_WT	T cell CD8+	0	0
GSICAPBENCH_1233_Lv_M_PE_365_WT	T cell CD8+	0.015651136	25.21008403
GSICAPBENCH_1273_Lv_M_PE_317_WT	T cell CD8+	0.020770237	29.41176471
GSICAPBENCH_1273_Lv_M_PE_317_WT	T cell CD8+	0.020770237	29.41176471
GSICAPBENCH_1273_Lv_M_PE_317_WT	T cell CD8+	0.020770237	29.41176471
GSICAPBENCH_1273_Lv_M_PE_317_WT	T cell CD8+	0.02103006	29.41176471
GSICAPBENCH_1275_Lv_M_PE_319_WT	T cell CD8+	0.021188852	29.41176471
GSICAPBENCH_1275_Lv_M_PE_319_WT	T cell CD8+	0.021188852	29.41176471
GSICAPBENCH_1275_Lv_M_PE_319_WT	T cell CD8+	0.021188852	29.41176471
GSICAPBENCH_1275_Lv_M_PE_319_WT	T cell CD8+	0.020611215	29.41176471
GSICAPBENCH_1288_Pm_M_PE_314_WT	T cell CD8+	0	0
GSICAPBENCH_1288_Pm_M_PE_314_WT	T cell CD8+	0	0
GSICAPBENCH_1288_Pm_M_PE_314_WT	T cell CD8+	0	0
GSICAPBENCH_1288_Pm_M_PE_314_WT	T cell CD8+	0	0
HCC_0224_01_LB01-01	T cell CD8+	0.023233453	31.09243697
HCCCFD_0007_01_LB01-01	T cell CD8+	0.067283655	64.70588235
HCCCFD_0019_01_LB01-01	T cell CD8+	0.005387216	20.16806723
HCCCFD_0028_01_LB01-01	T cell CD8+	0.021385854	29.41176471
HCCCFD_0130_Lv_P_PE_330_WT	T cell CD8+	0.005536671	20.16806723
HCCMOH_0222_01_LB01-01	T cell CD8+	0.041972785	50.42016807
HCCMOH_0247_01_LB01-01	T cell CD8+	0.06897314	64.70588235
HCCMOH_0253_01_LB01-01	T cell CD8+	0.019813373	28.57142857
HCCMOH_0254_01_LB01-01	T cell CD8+	0	0
HCCMOH_0272_01_LB01-01	T cell CD8+	0.069112746	64.70588235
HCCMOH_0275_01_LB01-01	T cell CD8+	0.06421258	63.86554622
HCCMOH_0278_01_LB01-01	T cell CD8+	0.13451153	84.87394958
HCCMOH_0283_01_LB01-01	T cell CD8+	0.106008722	78.1512605
HCCP_0002_Lv_M_PE_299_WT	T cell CD8+	0	0
HCCP_0002_Lv_P_PE_315_WT	T cell CD8+	0	0
INSIGHTM_0025_02_LB01-01	T cell CD8+	0.038424546	47.89915966
IRIS_0001_01_LB01-01	T cell CD8+	0.049494875	58.82352941
IRIS_0009_04_LB02-01	T cell CD8+	0.051988828	60.50420168
IRIS_0014_04_LB01-01	T cell CD8+	0	0
