sample	cell_type	score	ptile
PANX_1383_Lv_M_PE_304_WT	T cell CD8+	0	0
PANX_1385_Lv_M_PE_362_WT	T cell CD8+	0.019170165	26.8907563
PANX_1386_Lv_M_PE_354_WT	T cell CD8+	0.005872472	20.16806723
PANX_1388_Lv_M_PE_341_WT	T cell CD8+	0	0
PANX_1389_Lv_M_PE_334_WT	T cell CD8+	0	0
PANX_1390_Ln_M_PE_338_WT	T cell CD8+	0.043462781	53.78151261
PANX_1391_Lv_M_PE_310_WT	T cell CD8+	0.056811524	61.34453782
PANX_1392_Lv_M_PE_299_WT	T cell CD8+	0	0
PANX_1393_Lv_M_PE_313_WT	T cell CD8+	0.138235219	84.87394958
PANX_1394_Om_M_PE_347_WT	T cell CD8+	0.105746361	78.1512605
PANX_1395_Lv_M_PE_349_WT	T cell CD8+	0.008756686	23.52941176
PANX_1496_Lv_M_PE_347_WT	T cell CD8+	0.044627074	55.46218487
PANX_1497_Pa_M_PE_314_WT	T cell CD8+	0	0
PANX_1498_Pa_M_PE_300_WT	T cell CD8+	0	0
PANX_1499_Lv_M_PE_313_WT	T cell CD8+	0	0
PANX_1500_Lv_M_PE_318_WT	T cell CD8+	0	0
PANX_1503_Pa_P_PE_306_WT	T cell CD8+	0.013173581	25.21008403
PANX_1535_Lv_M_PE_326_WT	T cell CD8+	0	0
PANX_1536_Lv_M_PE_315_WT	T cell CD8+	0	0
PANX_1537_Pa_n_PE_310_WT	T cell CD8+	0	0
PANX_1538_Lv_M_PE_304_WT	T cell CD8+	0	0
PANX_1539_Lv_M_PE_309_WT	T cell CD8+	0	0
PANX_1540_Lv_M_PE_287_WT	T cell CD8+	0.108809544	78.99159664
PANX_1541_Lv_M_PE_310_WT	T cell CD8+	0.052955285	60.50420168
PANX_1542_Lv_M_PE_320_WT	T cell CD8+	0	0
PANX_1543_Lv_M_PE_300_WT	T cell CD8+	0.036355786	45.37815126
PANX_1547_Lv_M_PE_310_WT	T cell CD8+	0	0
PCSI_0017_So_M_PE_291_WT	T cell CD8+	0.158043989	86.55462185
PCSI_0692_Pa_P_PE_311_WT	T cell CD8+	0	0
PCSI_0778_Lv_M_PE_317_WT	T cell CD8+	0.056015387	61.34453782
PCSI_0785_Lv_M_PE_301_WT	T cell CD8+	0.05464416	61.34453782
PCSI_0817_Lv_M_PE_275_WT	T cell CD8+	0	0
PCSI_0934_Pm_M_PE_306_WT	T cell CD8+	0.093308529	72.26890756
PCSI_0937_Lv_M_PE_315_WT	T cell CD8+	0.065089481	63.86554622
PCSI_0943_Lv_M_PE_320_WT	T cell CD8+	0	0
PCSI_0968_Lv_M_PE_288_WT	T cell CD8+	0.133177926	84.87394958
PCSI_1020_Lv_M_PE_292_WT	T cell CD8+	0.03178678	40.33613445
READILY_0001_01_LB02-01	T cell CD8+	0.059084931	62.18487395
READILY_0002_01_LB02-01	T cell CD8+	0.050441483	58.82352941
READILY_0006_01_LB02-01	T cell CD8+	0.133558332	84.87394958
READILY_0017_01_LB02-01	T cell CD8+	0	0
READILY_0022_01_LB02-01	T cell CD8+	0.036383209	45.37815126
READILY_0027_01_LB02-01	T cell CD8+	0.00108466	16.80672269
READILY_0030_01_LB02-01	T cell CD8+	0.026444495	35.29411765
READILY_0041_01_LB02-01	T cell CD8+	0.01957191	27.73109244
READILY_0063_01_LB02-01	T cell CD8+	0.138264876	84.87394958
READILY_0093_01_LB02-01	T cell CD8+	0.167630659	87.39495798
READILY_0109_01_LB02-01	T cell CD8+	0.120903244	79.83193277
READILY_0119_01_LB02-01	T cell CD8+	0	0
READILY_0135_01_LB02-01	T cell CD8+	0.001672905	17.64705882
READILY_0155_01_LB02-01	T cell CD8+	0.093659974	72.26890756
READILY_0167_01_LB02-01	T cell CD8+	0.106083511	78.1512605
READILY_0183_01_LB02-01	T cell CD8+	0.083155607	70.58823529
READILY_0191_01_LB02-01	T cell CD8+	0.115280451	78.99159664
READILY_0193_01_LB02-01	T cell CD8+	0.069493282	64.70588235
READILY_0194_01_LB02-01	T cell CD8+	0.025016047	33.61344538
READILY_0201_01_LB02-01	T cell CD8+	0.071790068	66.38655462
READILY_0217_01_LB02-01	T cell CD8+	0.058352484	61.34453782
READILY_0226_01_LB02-01	T cell CD8+	0.096776616	73.1092437
READILY_0233_01_LB02-01	T cell CD8+	0.071148102	65.54621849
READILY_0236_01_LB01-01	T cell CD8+	0.194160822	92.43697479
READILY_0242_01_LB01-01	T cell CD8+	0.025298147	33.61344538
READILY_0262_01_LB01-01	T cell CD8+	0.073380055	67.22689076
READILY_0270_01_LB01-01	T cell CD8+	0.044106619	55.46218487
TGL01_0014_Ov_P_PE_1000_WT	T cell CD8+	0.032906064	42.85714286
TGL01_0031_nn_M_PE_1000_WT	T cell CD8+	0.254870887	96.63865546
TGL01_0035_Ov_P_PE_1000_WT	T cell CD8+	0.045775223	56.30252101
TGL01_0038_nn_M_PE_1000_WT	T cell CD8+	0.032913085	42.85714286
TGL01_0047_nn_M_PE_1000_WT	T cell CD8+	0.041776589	50.42016807
TGL01_0048_nn_P_PE_1000_WT	T cell CD8+	0.10697728	78.1512605
TGL01_0054_Oc_P_PE_1000_WT	T cell CD8+	0.082863386	70.58823529
TGL01_0055_nn_P_PE_1000_WT	T cell CD8+	0.116651956	78.99159664
TGL01_0057_Oc_P_PE_1000_WT	T cell CD8+	0.140536842	84.87394958
TGL01_0058_Ov_P_PE_1000_WT	T cell CD8+	0.032273393	41.17647059
TGL01_0063_nn_M_PE_1000_WT	T cell CD8+	0.073615749	67.22689076
TGL01_0075_Oc_M_PE_1000_WT	T cell CD8+	0.056407793	61.34453782
TGL01_0081_Oc_M_PE_1000_WT	T cell CD8+	0.008493717	23.52941176
TGL01_0088_nn_M_PE_1000_WT	T cell CD8+	0	0
TGL01_0090_Oc_P_PE_1000_WT	T cell CD8+	0.045886783	56.30252101
TGL01_0092_Br_P_PE_1000_WT	T cell CD8+	0.027948755	35.29411765
TGL01_0095_Oc_M_PE_1000_WT	T cell CD8+	0.011750514	23.52941176
TGL01_0097_Oc_P_PE_1000_WT	T cell CD8+	0.164192317	86.55462185
TGL01_0101_Oc_P_PE_1000_WT	T cell CD8+	0	0
TGL49_0180_01_LB01-01	T cell CD8+	0	0
TGL49_0271_01_LB01-01	T cell CD8+	0.093121491	72.26890756
TGL49_0285_01_LB01-01	T cell CD8+	0.099820361	75.6302521
TGL49_0287_01_LB01-01	T cell CD8+	0.081306579	69.74789916
TGL49_0299_01_LB01-01	T cell CD8+	0.05740588	61.34453782
TGL49_0334_01_LB01-01	T cell CD8+	0.026930227	35.29411765
TGL49_0347_01_LB01-01	T cell CD8+	0.176283	87.39495798
TGL49_0348_01_LB01-01	T cell CD8+	0.102088866	76.47058824
TGL49_0349_01_LB01-01	T cell CD8+	0.127777585	83.19327731
TGL49_0350_01_LB01-01	T cell CD8+	0.056562942	61.34453782
TGL49_0401_01_LB01-01	T cell CD8+	0.03180732	40.33613445
TGL49_0402_01_LB02-01	T cell CD8+	0.044043665	55.46218487
TGL49_0408_01_LB01-01	T cell CD8+	0.08360742	71.42857143
TGL49_0410_01_LB01-01	T cell CD8+	0.289465549	96.63865546
TGL49_0411_01_LB01-01	T cell CD8+	0	0
TGL49_0412_01_LB01-01	T cell CD8+	0.079387934	68.90756303
TGL49_0414_01_LB01-01	T cell CD8+	0.02878197	35.29411765
TGL49_0415_01_LB01-01	T cell CD8+	0	0
TGL49_0416_01_LB01-01	T cell CD8+	0.039044127	47.89915966
TGL49_0417_01_LB01-01	T cell CD8+	0.143790454	84.87394958
TGL49_0419_01_LB01-01	T cell CD8+	0.013343853	25.21008403
TGL49_0421_01_LB01-01	T cell CD8+	0	0
TGL49_0422_01_LB01-01	T cell CD8+	0.033517897	42.85714286
TGL49_0423_01_LB01-01	T cell CD8+	0.143821063	84.87394958
TGL49_0424_01_LB01-01	T cell CD8+	0.04460384	55.46218487
TGL49_0425_01_LB01-01	T cell CD8+	0	0
TGL49_0427_01_LB01-01	T cell CD8+	0.154671588	84.87394958
TGL49_0429_01_LB01-01	T cell CD8+	0.000377558	16.80672269
TGL49_0431_01_LB01-01	T cell CD8+	0	0
TGL49_0432_01_LB01-01	T cell CD8+	0.209104991	94.11764706
TGL49_0433_01_LB01-01	T cell CD8+	0.096034792	73.1092437
TGL49_0434_01_LB01-01	T cell CD8+	0.03220728	41.17647059
TGL49_0435_01_LB01-01	T cell CD8+	0.005627194	20.16806723
TGL49_0437_01_LB01-01	T cell CD8+	0	0
TGL49_0438_01_LB01-01	T cell CD8+	0.109747709	78.99159664
TGL49_0439_01_LB01-01	T cell CD8+	0.125507954	81.51260504
TGL49_0440_01_LB01-01	T cell CD8+	0.084423225	71.42857143
TGL49_0441_01_LB01-01	T cell CD8+	0.072401395	66.38655462
TGL49_0442_01_LB01-01	T cell CD8+	0	0
TGL49_0443_01_LB01-01	T cell CD8+	0.026891443	35.29411765
TGL49_0444_01_LB01-01	T cell CD8+	0.114398146	78.99159664
TGL49_0445_01_LB01-01	T cell CD8+	0.014363002	25.21008403
VNWGTS_0002_02_LB02-01	T cell CD8+	0.010317429	23.52941176
VNWGTS_0004_02_LB03-01	T cell CD8+	0.153560241	84.87394958
VNWGTS_0131_02_LB02-01	T cell CD8+	0	0
VNWGTS_0326_02_LB01-01	T cell CD8+	0.213431025	94.95798319
VNWGTS_0329_02_LB01-01	T cell CD8+	0.035440708	44.53781513
VNWGTS_0329_03_LB02-01	T cell CD8+	0.045107453	56.30252101
VNWGTS_0329_04_LB02-01	T cell CD8+	0.050235585	58.82352941
VNWGTS_0355_02_LB01-01	T cell CD8+	0	0
VNWGTS_0359_02_LB01-01	T cell CD8+	0.020268169	29.41176471
VNWGTS_0359_03_LB02-01	T cell CD8+	0.177219693	87.39495798
VNWGTS_0425_02_LB01-01	T cell CD8+	0.111262092	78.99159664
VNWGTS_0425_02_LB03-01	T cell CD8+	0.046601775	56.30252101
VNWGTS_0426_02_LB01-01	T cell CD8+	0	0
VNWGTS_0591_02_LB02-01	T cell CD8+	0.136354858	84.87394958
